Formula,Hardness_HV,Co,Fe,Ni,Si,Al,Cr,Mo,Ti,Cu,Mn,Nb,V,Zr,B,Nd,Sn,Hf,Ta,W,Zn,Re,C,Pd,Sc,Y
Co0.33333333Fe0.33333333Ni0.33333333,125.0,0.33333333,0.33333333,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.30769231Fe0.30769231Ni0.30769231Si0.07692308,149.0,0.30769231,0.30769231,0.30769231,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.28571429Fe0.28571429Ni0.28571429Si0.14285714,287.0,0.28571429,0.28571429,0.28571429,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.26666667Fe0.26666667Ni0.26666667Si0.2,570.0,0.26666667,0.26666667,0.26666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.11111111Co0.22222222Cr0.22222222Fe0.22222222Ni0.22222222,209.0,0.22222222,0.22222222,0.22222222,0.0,0.11111111,0.22222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.1Co0.2Cr0.2Fe0.2Mo0.1Ni0.2,425.0,0.2,0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.24993752Co0.16670832Cr0.16670832Fe0.16670832Mo0.08322919Ni0.16670832,655.0,0.16670832,0.16670832,0.16670832,0.0,0.24993752,0.16670832,0.08322919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.30769231Co0.15384615Cr0.15384615Fe0.15384615Mo0.07692308Ni0.15384615,605.0,0.15384615,0.15384615,0.15384615,0.0,0.30769231,0.15384615,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.22222222Cr0.22222222Fe0.22222222Mo0.11111111Ni0.22222222,210.0,0.22222222,0.22222222,0.22222222,0.0,0.0,0.22222222,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.28571429Co0.14285714Cr0.14285714Fe0.14285714Ni0.14285714Ti0.14285714,643.0,0.14285714,0.14285714,0.14285714,0.0,0.28571429,0.14285714,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.03217223Co0.24189647Cr0.16134494Fe0.16134494Ni0.24189647Ti0.16134494,717.0,0.24189647,0.16134494,0.24189647,0.0,0.03217223,0.16134494,0.0,0.16134494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.035Co0.26315789Cr0.17552632Fe0.17552632Ni0.26315789Ti0.08763158,487.0,0.26315789,0.17552632,0.26315789,0.0,0.035,0.17552632,0.0,0.08763158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.24993752Cr0.16670832Fe0.16670832Ni0.24993752Ti0.16670832,654.0,0.24993752,0.16670832,0.24993752,0.0,0.0,0.16670832,0.0,0.16670832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.27270248Cr0.18189256Fe0.18189256Ni0.27270248Ti0.09080993,509.0,0.27270248,0.18189256,0.27270248,0.0,0.0,0.18189256,0.0,0.09080993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.175Co0.075Cr0.25Fe0.25Ni0.25,624.0,0.075,0.25,0.25,0.0,0.175,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.27262814Co0.18184297Cr0.18184297Fe0.18184297Ni0.18184297,402.0,0.18184297,0.18184297,0.18184297,0.0,0.27262814,0.18184297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.2Cu0.2Fe0.2Mn0.2Ni0.2,296.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.2Cu0.2Fe0.2Mo0.2Ni0.2,263.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19607843Co0.19607843Cr0.19607843Fe0.19607843Nb0.01960784Ni0.19607843,569.0,0.19607843,0.19607843,0.19607843,0.0,0.19607843,0.19607843,0.0,0.0,0.0,0.0,0.01960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19047619Co0.19047619Cr0.19047619Fe0.19047619Nb0.04761905Ni0.19047619,668.0,0.19047619,0.19047619,0.19047619,0.0,0.19047619,0.19047619,0.0,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.18181818Fe0.18181818Nb0.09090909Ni0.18181818,747.0,0.18181818,0.18181818,0.18181818,0.0,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.1Cr0.2Fe0.2Mo0.1Ni0.2,801.0,0.1,0.2,0.2,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16670832Co0.24993752Cr0.16670832Fe0.16670832Mo0.08322919Ni0.16670832,741.0,0.24993752,0.16670832,0.16670832,0.0,0.16670832,0.16670832,0.08322919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.30769231Cr0.15384615Fe0.15384615Mo0.07692308Ni0.15384615,586.0,0.30769231,0.15384615,0.15384615,0.0,0.15384615,0.15384615,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19607843Co0.19607843Cr0.19607843Fe0.11764706Mo0.09803922Ni0.19607843,754.0,0.19607843,0.11764706,0.19607843,0.0,0.19607843,0.19607843,0.09803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16670832Co0.16670832Cr0.16670832Fe0.24993752Mo0.08322919Ni0.16670832,635.0,0.16670832,0.24993752,0.16670832,0.0,0.16670832,0.16670832,0.08322919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.15384615Fe0.30769231Mo0.07692308Ni0.15384615,639.0,0.15384615,0.30769231,0.15384615,0.0,0.15384615,0.15384615,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.22222222Co0.22222222Cr0.22222222Fe0.22222222Mo0.11111111,857.0,0.22222222,0.22222222,0.0,0.0,0.22222222,0.22222222,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.18181818Fe0.18181818Mo0.09090909Ni0.18181818,730.0,0.18181818,0.18181818,0.18181818,0.0,0.18181818,0.18181818,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.2Cr0.2Fe0.2Mo0.1Ni0.1,708.0,0.2,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16670832Co0.16670832Cr0.16670832Fe0.16670832Mo0.08322919Ni0.24993752,586.0,0.16670832,0.16670832,0.24993752,0.0,0.16670832,0.16670832,0.08322919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.15384615Fe0.15384615Mo0.07692308Ni0.30769231,395.0,0.15384615,0.15384615,0.30769231,0.0,0.15384615,0.15384615,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.125Co0.125Cr0.125Fe0.125Ni0.125Ti0.125V0.125Zr0.125,780.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.14285714Co0.14285714Fe0.14285714Ni0.14285714Ti0.14285714V0.14285714Zr0.14285714,790.0,0.14285714,0.14285714,0.14285714,0.0,0.14285714,0.0,0.0,0.14285714,0.0,0.0,0.0,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16666667Fe0.16666667Ni0.16666667Ti0.16666667V0.16666667Zr0.16666667,800.0,0.0,0.16666667,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.125Cr0.125Cu0.125Fe0.125Ni0.125Ti0.125V0.125Zr0.125,680.0,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.125Cr0.125Fe0.125Mo0.125Ni0.125Ti0.125V0.125Zr0.125,850.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.14285714Cu0.14285714Fe0.14285714Ni0.14285714Ti0.14285714V0.14285714Zr0.14285714,630.0,0.14285714,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.14285714,0.14285714,0.0,0.0,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.14285714Fe0.14285714Mo0.14285714Ni0.14285714Ti0.14285714V0.14285714Zr0.14285714,790.0,0.14285714,0.14285714,0.14285714,0.0,0.0,0.0,0.14285714,0.14285714,0.0,0.0,0.0,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cu0.16666667Fe0.16666667Ni0.16666667Ti0.16666667V0.16666667Zr0.16666667,590.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fe0.16666667Mo0.16666667Ni0.16666667Ti0.16666667V0.16666667Zr0.16666667,740.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.03846154Co0.19230769Cr0.19230769Fe0.19230769Mn0.19230769Ni0.19230769,171.0,0.19230769,0.19230769,0.19230769,0.0,0.03846154,0.19230769,0.0,0.0,0.0,0.19230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
